type1,type2,type3,trial,start_belief,CoopEq,fc_cooperate,type1pc,CoopEq_pc
0,0,0,0,good,5e-05,0.025035999999995912,Independent Punishers: 0%,0
0,0,0,1,good,5e-05,0.02512799999999573,Independent Punishers: 0%,0
0,0,0,2,good,5e-05,0.02502199999999607,Independent Punishers: 0%,0
0,0,0,3,good,5e-05,0.025304499999996007,Independent Punishers: 0%,0
0,0,0,4,good,5e-05,0.02495699999999588,Independent Punishers: 0%,0
0,0,10,0,good,5e-05,0.025031999999995846,Independent Punishers: 0%,0
0,0,10,1,good,5e-05,0.025078999999995934,Independent Punishers: 0%,0
0,0,10,2,good,5e-05,0.025046499999995833,Independent Punishers: 0%,0
0,0,10,3,good,5e-05,0.025155999999995883,Independent Punishers: 0%,0
0,0,10,4,good,5e-05,0.024857499999995994,Independent Punishers: 0%,0
0,0,20,0,good,5e-05,0.025083499999996,Independent Punishers: 0%,0
0,0,20,1,good,5e-05,0.0249039999999958,Independent Punishers: 0%,0
0,0,20,2,good,5e-05,0.02506849999999592,Independent Punishers: 0%,0
0,0,20,3,good,5e-05,0.02512399999999592,Independent Punishers: 0%,0
0,0,20,4,good,5e-05,0.02512749999999596,Independent Punishers: 0%,0
0,0,30,0,good,5e-05,0.025107999999995776,Independent Punishers: 0%,0
0,0,30,1,good,5e-05,0.025237999999995958,Independent Punishers: 0%,0
0,0,30,2,good,5e-05,0.025213999999995892,Independent Punishers: 0%,0
0,0,30,3,good,5e-05,0.025054999999995987,Independent Punishers: 0%,0
0,0,30,4,good,5e-05,0.025001499999995944,Independent Punishers: 0%,0
0,0,40,0,good,5e-05,0.025060999999996163,Independent Punishers: 0%,0
0,0,40,1,good,5e-05,0.024829999999996077,Independent Punishers: 0%,0
0,0,40,2,good,5e-05,0.025021999999995832,Independent Punishers: 0%,0
0,0,40,3,good,5e-05,0.024997999999995864,Independent Punishers: 0%,0
0,0,40,4,good,5e-05,0.025233999999995926,Independent Punishers: 0%,0
0,0,50,0,good,5e-05,0.02499699999999589,Independent Punishers: 0%,0
0,0,50,1,good,5e-05,0.025082999999995803,Independent Punishers: 0%,0
